Vertices,Arestas (aprox.),Fluxo Max. (media),Tempo (ms),Push (media),Relabel (media),Gargalos (media)
10,27,153.4,0.044 +/- 0.027,25 +/- 16,20 +/- 14,3.6
50,735,733.5,13.090 +/- 0.529,3334 +/- 294,2320 +/- 6,13.8
100,2970,1312.4,61.305 +/- 54.135,9167 +/- 8125,5851 +/- 5177,27.2
250,18675,3728.7,1255.246 +/- 695.104,66742 +/- 38442,49332 +/- 27316,74.2
500,74850,6949.6,11754.773 +/- 10657.759,203762 +/- 189081,149193 +/- 135325,143.6
1000,299700,14046.0,147722.302 +/- 134616.698,889486 +/- 838771,598351 +/- 544412,288.0
